model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M24,6ch,1,10,0.39481037924151696,0.38793305427521624,0.3959758551307847,0.3884001866096414
M21,62ch,1,11,0.38762475049900197,0.35918628713306755,0.40603621730382294,0.3819965647211706
M21,6ch,1,11,0.36087824351297404,0.3332740499249591,0.3963782696177062,0.3694941660049401
M23,62ch,1,11,0.32974051896207585,0.3219437931267835,0.3271629778672032,0.32076996227941545
M23,6ch,1,11,0.4606786427145709,0.43676791417689786,0.462374245472837,0.43722995760901834
M24,62ch,1,11,0.36407185628742517,0.3412257865642051,0.37424547283702214,0.3546671449464417
M24,6ch,1,11,0.38682634730538923,0.38311176811262904,0.38873239436619716,0.3850170780241034
M21,62ch,1,12,0.4279441117764471,0.42177734010770307,0.44466800804828976,0.43774479206935496
M21,6ch,1,12,0.27624750499002,0.24167059023516488,0.30181086519114686,0.26939967338636095
M23,62ch,1,12,0.3600798403193613,0.3415096995869575,0.3645875251509054,0.34663661610142743
M23,6ch,1,12,0.3349301397205589,0.33441763328802404,0.3392354124748491,0.33859685410936463
M24,62ch,1,12,0.36087824351297404,0.3586293878399447,0.3476861167002012,0.3438123567082242
M24,6ch,1,12,0.2315369261477046,0.21466702873821528,0.23621730382293762,0.20797208707351794
M21,62ch,1,13,0.38203592814371257,0.3773504500774645,0.4072434607645875,0.4064828025880655
M21,6ch,1,13,0.3784431137724551,0.35338553350137275,0.3291750503018109,0.2848078756966761
M23,62ch,1,13,0.34251497005988024,0.3267823931592169,0.3464788732394366,0.32995353868626703
M23,6ch,1,13,0.1812375249500998,0.15472816030378797,0.179476861167002,0.1549761750475694
M24,62ch,1,13,0.4686626746506986,0.4020075574913134,0.4450704225352113,0.39245542760541186
M24,6ch,1,13,0.25429141716566867,0.2276183682437972,0.25875251509054326,0.23303157503624689
M21,62ch,1,14,0.3972055888223553,0.3849603804134078,0.4305835010060362,0.4219285375020931
M21,6ch,1,14,0.44510978043912175,0.44651391030211857,0.4426559356136821,0.4333800700682868
M23,62ch,1,14,0.34810379241516964,0.3379324588709802,0.352112676056338,0.34288390665114216
M23,6ch,1,14,0.3904191616766467,0.3960788629217716,0.39154929577464787,0.3985301631580869
