model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M14,62ch,21,4,0.5017964071856288,0.485446401473776,0.4857142857142857,0.4657902856925559
M14,6ch,21,4,0.5453093812375249,0.5259507024038066,0.5601609657947686,0.5445388079037895
M15,62ch,21,4,0.3776447105788423,0.37066424420199556,0.44748490945674047,0.45389581689652775
M15,6ch,21,4,0.5229540918163673,0.5163864117449902,0.510261569416499,0.5117836620848669
M16,62ch,21,4,0.4746506986027944,0.4491827210214877,0.39476861167002014,0.400008006529554
M16,6ch,21,4,0.4287425149700599,0.4189796583176256,0.4334004024144869,0.423106481797486
M17,62ch,21,4,0.4622754491017964,0.45153636917899836,0.40603621730382294,0.41163652311461707
M17,6ch,21,4,0.5405189620758483,0.5342688810107532,0.5859154929577465,0.5760968762540253
M18,62ch,21,4,0.4235528942115768,0.4284233165634266,0.3875251509054326,0.40034743464917605
M18,6ch,21,4,0.4666666666666667,0.44279257819267737,0.49014084507042255,0.46115854405800555
M19,62ch,21,4,0.5760479041916168,0.5661384947665596,0.606841046277666,0.5983880771041672
M19,6ch,21,4,0.5101796407185629,0.49838509356344207,0.564989939637827,0.5543216779821136
M20,62ch,21,4,0.3980039920159681,0.3930405404630758,0.38953722334004026,0.38488946828775467
M20,6ch,21,4,0.4099800399201597,0.3814936638659418,0.41448692152917505,0.3813383730497898
M11,62ch,21,5,0.3712574850299401,0.3725163882254996,0.40040241448692154,0.4043026558108148
M11,6ch,21,5,0.41916167664670656,0.3819044522305227,0.4414486921529175,0.3928789469834533
M12,62ch,21,5,0.2,0.1432523803800078,0.36257545271629776,0.3600182252962107
M12,6ch,21,5,0.4654690618762475,0.3553413655353924,0.42414486921529176,0.4035862991219737
M13,62ch,21,5,0.318562874251497,0.2559918324288017,0.2945674044265594,0.2555689780275672
M13,6ch,21,5,0.3536926147704591,0.29892450729959374,0.29698189134808856,0.24986844006703013
M14,62ch,21,5,0.350499001996008,0.2863755046700651,0.3557344064386318,0.2924866106069568
M14,6ch,21,5,0.36766467065868264,0.3423238565495558,0.42052313883299797,0.38761729705643366
M15,62ch,21,5,0.3189620758483034,0.23210269670352904,0.32756539235412474,0.29142499873522465
M15,6ch,21,5,0.4239520958083832,0.35867924846089017,0.4539235412474849,0.40126073120420214
M16,62ch,21,5,0.4127744510978044,0.37233298096306744,0.35492957746478876,0.3040379045412588
M16,6ch,21,5,0.3536926147704591,0.28389572910224803,0.3963782696177062,0.321333995571085
